date_id,calendar_date,month,quarter,year
1,2022-01-01,1,1,2022
2,2022-01-02,1,1,2022
3,2022-01-03,1,1,2022
4,2022-01-04,1,1,2022
5,2022-01-05,1,1,2022
6,2022-01-06,1,1,2022
7,2022-01-07,1,1,2022
8,2022-01-08,1,1,2022
9,2022-01-09,1,1,2022
10,2022-01-10,1,1,2022
11,2022-01-11,1,1,2022
12,2022-01-12,1,1,2022
13,2022-01-13,1,1,2022
14,2022-01-14,1,1,2022
15,2022-01-15,1,1,2022
16,2022-01-16,1,1,2022
17,2022-01-17,1,1,2022
18,2022-01-18,1,1,2022
19,2022-01-19,1,1,2022
20,2022-01-20,1,1,2022
21,2022-01-21,1,1,2022
22,2022-01-22,1,1,2022
23,2022-01-23,1,1,2022
24,2022-01-24,1,1,2022
25,2022-01-25,1,1,2022
26,2022-01-26,1,1,2022
27,2022-01-27,1,1,2022
28,2022-01-28,1,1,2022
29,2022-01-29,1,1,2022
30,2022-01-30,1,1,2022
31,2022-01-31,1,1,2022
32,2022-02-01,2,1,2022
33,2022-02-02,2,1,2022
34,2022-02-03,2,1,2022
35,2022-02-04,2,1,2022
36,2022-02-05,2,1,2022
37,2022-02-06,2,1,2022
38,2022-02-07,2,1,2022
39,2022-02-08,2,1,2022
40,2022-02-09,2,1,2022
41,2022-02-10,2,1,2022
42,2022-02-11,2,1,2022
43,2022-02-12,2,1,2022
44,2022-02-13,2,1,2022
45,2022-02-14,2,1,2022
46,2022-02-15,2,1,2022
47,2022-02-16,2,1,2022
48,2022-02-17,2,1,2022
49,2022-02-18,2,1,2022
50,2022-02-19,2,1,2022
51,2022-02-20,2,1,2022
52,2022-02-21,2,1,2022
53,2022-02-22,2,1,2022
54,2022-02-23,2,1,2022
55,2022-02-24,2,1,2022
56,2022-02-25,2,1,2022
57,2022-02-26,2,1,2022
58,2022-02-27,2,1,2022
59,2022-02-28,2,1,2022
60,2022-03-01,3,1,2022
61,2022-03-02,3,1,2022
62,2022-03-03,3,1,2022
63,2022-03-04,3,1,2022
64,2022-03-05,3,1,2022
65,2022-03-06,3,1,2022
66,2022-03-07,3,1,2022
67,2022-03-08,3,1,2022
68,2022-03-09,3,1,2022
69,2022-03-10,3,1,2022
70,2022-03-11,3,1,2022
71,2022-03-12,3,1,2022
72,2022-03-13,3,1,2022
73,2022-03-14,3,1,2022
74,2022-03-15,3,1,2022
75,2022-03-16,3,1,2022
76,2022-03-17,3,1,2022
77,2022-03-18,3,1,2022
78,2022-03-19,3,1,2022
79,2022-03-20,3,1,2022
80,2022-03-21,3,1,2022
81,2022-03-22,3,1,2022
82,2022-03-23,3,1,2022
83,2022-03-24,3,1,2022
84,2022-03-25,3,1,2022
85,2022-03-26,3,1,2022
86,2022-03-27,3,1,2022
87,2022-03-28,3,1,2022
88,2022-03-29,3,1,2022
89,2022-03-30,3,1,2022
90,2022-03-31,3,1,2022
91,2022-04-01,4,2,2022
92,2022-04-02,4,2,2022
93,2022-04-03,4,2,2022
94,2022-04-04,4,2,2022
95,2022-04-05,4,2,2022
96,2022-04-06,4,2,2022
97,2022-04-07,4,2,2022
98,2022-04-08,4,2,2022
99,2022-04-09,4,2,2022
100,2022-04-10,4,2,2022
